Date,Active suppliers,Electricity price (GBP/MWh),Gas price (GBP/MWh),Electricity volatility (baseload),Electricity volatility (peak),Gas volatility,Price (GBP/MWh),Volatility
01/12/2004,13,,,0.42,2.11,1.19,,1.21
01/01/2005,13,,,0.46,2.31,1.31,,1.33
01/02/2005,13,,,0.37,1.67,1.26,,1.20
01/03/2005,13,,,0.81,3.19,4.16,,3.66
01/04/2005,13,,,0.32,1.53,1.60,,1.44
01/05/2005,13,,,0.17,0.72,0.93,,0.82
01/06/2005,13,,,0.26,1.24,1.35,,1.21
01/07/2005,13,,,0.46,2.79,1.26,,1.35
01/08/2005,13,,,0.17,1.06,0.92,,0.85
01/09/2005,13,,,0.29,1.46,0.89,,0.89
01/10/2005,13,,,0.33,1.76,1.03,,1.03
01/11/2005,13,,,0.50,1.94,2.26,,2.02
01/12/2005,12,,,0.79,3.38,2.94,,2.74
01/01/2006,12,,,0.70,2.82,2.09,,2.01
01/02/2006,12,,,0.59,2.05,2.05,,1.88
01/03/2006,12,,,1.14,4.36,3.89,,3.62
01/04/2006,12,,,0.81,3.31,2.91,,2.71
01/05/2006,12,,,0.23,0.94,1.21,,1.06
01/06/2006,12,,,0.29,1.45,2.19,,1.88
01/07/2006,12,,,0.65,3.02,1.82,,1.82
01/08/2006,12,,,0.90,4.44,0.90,,1.31
01/09/2006,12,,,0.38,1.90,1.05,,1.07
01/10/2006,12,,,0.48,2.27,5.67,,4.67
01/11/2006,12,,,0.72,2.97,2.17,,2.09
01/12/2006,10,,,0.87,3.28,1.83,,1.89
01/01/2007,10,,,0.63,2.94,1.54,,1.60
01/02/2007,10,,,0.41,1.94,1.20,,1.19
01/03/2007,10,,,0.30,1.54,1.40,,1.29
01/04/2007,10,,,0.33,1.67,0.86,,0.89
01/05/2007,10,,,0.42,2.19,1.06,,1.12
01/06/2007,10,,,0.53,2.90,0.84,,1.04
01/07/2007,10,,,0.40,1.81,1.07,,1.08
01/08/2007,10,,,0.33,1.29,0.95,,0.92
01/09/2007,10,,,0.44,1.72,1.27,,1.23
01/10/2007,10,,,0.75,2.48,1.22,,1.31
01/11/2007,10,,,0.92,4.13,1.13,,1.46
01/12/2007,11,,,0.77,3.63,0.91,,1.21
01/01/2008,11,,,0.61,2.66,0.92,,1.09
01/02/2008,11,,,0.20,1.02,0.50,,0.53
01/03/2008,11,,,0.15,0.70,0.49,,0.47
01/04/2008,11,,,0.31,1.56,0.41,,0.53
01/05/2008,11,,,0.24,1.11,0.78,,0.76
01/06/2008,11,,,0.43,2.34,0.48,,0.69
01/07/2008,11,,,0.43,2.03,0.75,,0.86
01/08/2008,11,,,0.33,1.60,2.12,,1.85
01/09/2008,11,,,0.34,1.49,1.46,,1.33
01/10/2008,11,,,0.41,1.56,1.05,,1.03
01/11/2008,11,,,0.48,2.12,1.44,,1.41
01/12/2008,12,,,0.60,2.77,0.98,,1.14
01/01/2009,12,,,0.60,2.75,1.10,,1.23
01/02/2009,12,,,0.35,1.51,1.00,,0.98
01/03/2009,12,,,0.23,0.98,0.87,,0.81
01/04/2009,12,,,0.16,0.66,0.96,,0.83
01/05/2009,12,,,0.28,1.02,0.71,,0.70
01/06/2009,12,,,0.31,1.09,0.82,,0.79
01/07/2009,12,,,0.31,1.12,0.68,,0.69
01/08/2009,12,,,0.18,0.65,0.81,,0.72
01/09/2009,12,,,0.28,1.11,2.03,,1.72
01/10/2009,12,,25.18,0.21,0.92,2.66,,2.17
01/11/2009,12,,26.99,0.18,0.93,1.06,,0.94
01/12/2009,12,,31.42,0.22,0.89,0.66,,0.64
01/01/2010,12,,39.77,0.31,1.27,1.41,,1.27
01/02/2010,12,,35.78,0.20,0.50,0.99,,0.84
01/03/2010,12,,32.14,0.10,0.42,0.60,,0.52
